Time,Temperature,Frequency,Magnitude
0,20.51,0,20.5039
1,20.51,0.0056,0.0024
2,20.51,0.0111,0.0016
3,20.46,0.0167,0.0006
4,20.48,0.0222,0.0013
5,20.51,0.0278,0.0008
6,20.51,0.0333,0.001
7,20.48,0.0389,0.001
8,20.51,0.0444,0.001
9,20.51,0.05,0.0015
10,20.48,0.0556,0.001
11,20.48,0.0611,0.0004
12,20.51,0.0667,0.0018
13,20.51,0.0722,0.0019
14,20.51,0.0778,0.0007
15,20.51,0.0833,0.0008
16,20.51,0.0889,0.0024
17,20.48,0.0944,0.0018
18,20.48,0.1,0.0018
19,20.53,0.1056,0.0012
20,20.48,0.1111,0.0016
21,20.51,0.1167,0.0008
22,20.51,0.1222,0.002
23,20.53,0.1278,0.0004
24,20.51,0.1333,0.0015
25,20.51,0.1389,0.0007
26,20.51,0.1444,0.0027
27,20.51,0.15,0.0005
28,20.48,0.1556,0.001
29,20.48,0.1611,0.0009
30,20.48,0.1667,0.0004
31,20.48,0.1722,0.0021
32,20.51,0.1778,0.0021
33,20.48,0.1833,0.0011
34,20.51,0.1889,0.0012
35,20.51,0.1944,0.001
36,20.51,0.2,0.0007
37,20.51,0.2056,0.0015
38,20.48,0.2111,0.001
39,20.51,0.2167,0.0017
40,20.51,0.2222,0.0014
41,20.48,0.2278,0.0006
42,20.51,0.2333,0.0009
43,20.51,0.2389,0.0008
44,20.48,0.2444,0.0022
45,20.51,0.25,0.0014
46,20.51,0.2556,0.0002
47,20.51,0.2611,0.0006
48,20.51,0.2667,0.0014
49,20.48,0.2722,0.0014
50,20.48,0.2778,0.0006
51,20.48,0.2833,0.0018
52,20.51,0.2889,0.0022
53,20.51,0.2944,0.0027
54,20.51,0.3,0.0016
55,20.51,0.3056,0.0003
56,20.53,0.3111,0.0013
57,20.51,0.3167,0.001
58,20.48,0.3222,0.0009
59,20.51,0.3278,0.0017
60,20.51,0.3333,0.0011
61,20.48,0.3389,0.0004
62,20.48,0.3444,0.0007
63,20.48,0.35,0.0002
64,20.51,0.3556,0.0018
65,20.48,0.3611,0.0013
66,20.51,0.3667,0.0022
67,20.53,0.3722,0.0013
68,20.51,0.3778,0.0006
69,20.51,0.3833,0.0013
70,20.53,0.3889,0.0005
71,20.48,0.3944,0.0004
72,20.48,0.4,0.0018
73,20.51,0.4056,0.0002
74,20.48,0.4111,0.0004
75,20.51,0.4167,0.0006
76,20.53,0.4222,0.0004
77,20.51,0.4278,0.0003
78,20.48,0.4333,0.0003
79,20.51,0.4389,0.001
80,20.53,0.4444,0.0015
81,20.53,0.45,0.0006
82,20.51,0.4556,0.0008
83,20.51,0.4611,0.001
84,20.53,0.4667,0.0005
85,20.48,0.4722,0.0012
86,20.51,0.4778,0.0005
87,20.53,0.4833,0.0015
88,20.51,0.4889,0.0007
89,20.53,0.4944,0.0001
Average Frequency: 0.2500,,,
Power Mode: IDLE (Medium sampling rate),,,
